Model,Feature,BaselineROCAUC,MeanDecreaseROCAUC,StdDecreaseROCAUC
LightGBM,Player1Points,0.7016239987917061,-0.0007673766966066106,0.0002965691207710727
LightGBM,Player2Points,0.7016239987917061,0.0005978537051982702,0.00013302986910581108
LightGBM,Player1MatchesBefore,0.7016239987917061,0.0005659943959080612,0.0006423271668273908
LightGBM,Player2MatchesBefore,0.7016239987917061,0.00011170424491853866,0.0007392396639321402
LightGBM,ExperienceDifference,0.7016239987917061,0.005021184474053937,0.0011089832838888521
LightGBM,Player1WinRateBefore,0.7016239987917061,0.0003628421335825083,0.0003271417450503135
LightGBM,Player2WinRateBefore,0.7016239987917061,0.0005715009431928042,9.459236709016048e-05
LightGBM,WinRateDifference,0.7016239987917061,0.0010902963623747504,0.0011075357474942984
LightGBM,Player1Recent5WinRate,0.7016239987917061,5.506547284713411e-05,0.00021881518347509023
LightGBM,Player2Recent5WinRate,0.7016239987917061,-9.43979534532661e-06,0.00013906938410655745
LightGBM,Recent5WinRateDifference,0.7016239987917061,0.001484211155635351,0.0008043416791963895
LightGBM,Player1SurfaceMatchesBefore,0.7016239987917061,0.004775749795077666,0.0018021253919381036
LightGBM,Player2SurfaceMatchesBefore,0.7016239987917061,0.005315981416189497,0.001509436381348691
LightGBM,SurfaceMatchesDifference,0.7016239987917061,0.002073215052697678,0.000591817068335293
LightGBM,Player1SurfaceWinRateBefore,0.7016239987917061,0.0013074116553152642,0.00022695011726557037
LightGBM,Player2SurfaceWinRateBefore,0.7016239987917061,0.0006804519144691193,0.00029794347567896296
LightGBM,SurfaceWinRateDifference,0.7016239987917061,0.005364360367333787,0.001570495442039562
LightGBM,H2HMatchesBefore,0.7016239987917061,-4.896893835348859e-05,9.353235769607381e-05
LightGBM,Player1H2HWinRateBefore,0.7016239987917061,-0.000506405687791478,0.00041416971342281755
LightGBM,Player2H2HWinRateBefore,0.7016239987917061,0.0005303985009604087,0.00039586251262935945
LightGBM,DifferenceH2HWinRateBefore,0.7016239987917061,-2.8712710841816147e-05,2.536411362741164e-05
LightGBM,Player1DaysSinceLastMatch,0.7016239987917061,0.00034887910296762154,0.0001192030509846773
LightGBM,Player2DaysSinceLastMatch,0.7016239987917061,0.001016154636434045,0.00020014938657110623
LightGBM,DaysSinceLastMatchDifference,0.7016239987917061,0.0037816213477824823,0.00046063792644675694
LightGBM,MissingPlayer1DaysSinceLastMatch,0.7016239987917061,0.0,0.0
LightGBM,MissingPlayer2DaysSinceLastMatch,0.7016239987917061,0.0,0.0
LightGBM,RankDifference,0.7016239987917061,0.0054613149320255445,0.0012702622672892524
LightGBM,PointsDifference,0.7016239987917061,0.04611359692388536,0.0019541730944788774
LightGBM,Series,0.7016239987917061,0.00031819976809558764,0.00039912953257806397
LightGBM,Court,0.7016239987917061,-2.6942749214590538e-05,6.243899670238824e-05
LightGBM,Surface,0.7016239987917061,0.0,0.0
LightGBM,Round,0.7016239987917061,2.51727875872169e-05,5.4108257000441095e-05
LightGBM,Best of,0.7016239987917061,7.178177710431832e-05,2.3264422496294622e-05
