MatchID,Date,SourceYear,ATP,Location,Tournament,Series,Court,Surface,Round,Best of,Player1,Player2,Player1Rank,Player2Rank,Player1Points,Player2Points,Player1B365Odds,Player2B365Odds,Player1PSOdds,Player2PSOdds,Player1MaxOdds,Player2MaxOdds,Player1AvgOdds,Player2AvgOdds,Player1Won
76,2015-01-10,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,Semifinals,3.0,Federer R.,Dimitrov G.,2.0,11.0,9625.0,3645.0,1.28,3.75,1.32,3.79,1.32,3.95,1.27,3.68,1
77,2015-01-10,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,Semifinals,3.0,Nishikori K.,Raonic M.,5.0,8.0,5025.0,4440.0,1.44,2.75,1.54,2.7,1.57,2.75,1.49,2.58,0
78,2015-01-10,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,Semifinals,3.0,Bautista R.,Bedene A.,15.0,156.0,2110.0,325.0,1.22,4.33,1.27,4.26,1.29,4.33,1.24,3.94,0
79,2015-01-10,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,Semifinals,3.0,Goffin D.,Wawrinka S.,22.0,4.0,1599.0,5120.0,2.75,1.44,2.74,1.53,2.85,1.56,2.63,1.47,0
80,2015-01-10,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,The Final,3.0,Berdych T.,Ferrer D.,7.0,10.0,4600.0,4045.0,1.44,2.75,1.53,2.74,1.53,2.88,1.46,2.66,0
81,2015-01-11,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,The Final,3.0,Federer R.,Raonic M.,2.0,8.0,9625.0,4440.0,1.25,4.0,1.3,3.97,1.3,4.01,1.26,3.76,1
82,2015-01-11,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,The Final,3.0,Bedene A.,Wawrinka S.,156.0,4.0,325.0,5120.0,8.0,1.08,9.05,1.1,9.05,1.11,7.35,1.09,0
83,2015-01-12,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,1st Round,3.0,De Schepper K.,Giraldo S.,100.0,32.0,540.0,1175.0,2.62,1.44,2.24,1.71,2.8,1.71,2.51,1.51,1
84,2015-01-12,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,1st Round,3.0,Falla A.,Statham J.,113.0,577.0,496.0,53.0,1.28,3.5,1.32,3.7,1.34,3.8,1.3,3.41,1
85,2015-01-12,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,1st Round,3.0,Johnson S.,Sousa J.,37.0,51.0,999.0,822.0,1.33,3.25,1.41,3.11,1.41,3.5,1.35,3.11,1
